Protocol,Source_IP,Destination_IP
TCP,10.22.60.91,172.67.69.92
TCP,10.22.60.91,172.67.69.92
TCP,10.22.60.91,172.67.69.92
TCP,10.22.60.91,172.67.69.92
TCP,10.22.60.91,172.67.69.92
TCP,10.22.60.91,172.67.69.92
TCP,10.22.60.91,172.67.69.92
TCP,10.22.60.91,172.67.69.92
TCP,10.22.60.91,172.67.69.92
TCP,172.67.69.92,10.22.60.91
TCP,10.22.60.91,172.67.69.92
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,10.22.60.91,172.67.69.92
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,10.22.60.91,172.67.69.92
TCP,10.22.60.91,172.67.69.92
TCP,172.67.69.92,10.22.60.91
TCP,10.22.60.91,172.67.69.92
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,10.22.60.91,172.67.69.92
TCP,10.22.60.91,172.67.69.92
TCP,172.67.69.92,10.22.60.91
TCP,10.22.60.91,172.67.69.92
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,10.22.60.91,172.67.69.92
TCP,172.67.69.92,10.22.60.91
TCP,10.22.60.91,172.67.69.92
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,10.22.60.91,172.67.69.92
TCP,10.22.60.91,172.67.69.92
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,10.22.60.91,172.67.69.92
TCP,10.22.60.91,172.67.69.92
TCP,172.67.69.92,10.22.60.91
TCP,10.22.60.91,172.67.69.92
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,10.22.60.91,172.67.69.92
TCP,10.22.60.91,172.67.69.92
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,10.22.60.91,172.67.69.92
TCP,10.22.60.91,172.67.69.92
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
TCP,172.67.69.92,10.22.60.91
